,text,types,keywords
451,คืนนี้2นาฬิกา  จะไปขึ้นรถ   shater  bus ที่หัวลำโพง  จะมีรถรับส่งตลอดไหมครับ    พอทราบไหมครับ    ว่าขบวนอิสิรยศตอนเช้าเสร็จ   ชว่งบ่ายจนถึง22น  พีธิถวายพระเพลิง  ถนนจะว่างจะให้ประชาชนที่ไม่ได้เข้าไปในบริเวณท้องสนามหลวงสามารถยืนเพื่อสง่เสร็จสู่สวรรคาลัยบริเวณนี้ไก้ไหมครับ  หน้ากรมรักษาดินแดง ถนนสนามไชย   ขอบคุณครับ,"who,yes_no","Tonight,o'clock,shater,bus,Hua,Lamphong,bus,time,morning,procession,Afternoon,Phithi,offering,fire,road,people,Sanam,Luang,area,tombs,area,front,Dindaeng,Department,Sanam,Chai,Road,thank"
452,มีใครมางานรับน้องบ้าง,,"Has,anyone,work"
453,ใครเครียดมาคุยกับผมได้ครับ,"who,yes_no",
454,บ่ายสามโมงเราจะไปร้องเพลงกะเพื่อนที่ฟิว มีใครอยากไปกะเราไหม 555 ฟรีนะ 555,"who,yes_no","o'clock,afternoon,song,friend"
455,นอนยัง zontu,,
456,นอนยัง,,
457,นอนยัง,,
458,พรุ่งนี้สอบเสร็จใครจะไปไหนมะ บอกมา จะได้ไม่ไปร้านนั้น,"who,yes_no",Tomorrow
459,วันเกิดปีนี้คุณจะคิดถึงเราเหมือนที่เราคิดถึงคุณอยู่ตอนนี้มั้ย ,yes_no,"year,birthday"
460,กำลังคิดจะตัดหน้าม้าต่อไปหรือจะไว้ยาวเลยดีวะ,yes_no,shill
461,มีใครติดละครบ้าง ชอบดูเรื่องไรกัน,,"Has,anyone,drama,story"
462,มีหนังไรน่าดูมะ,,movie
